Year,Philippines: Unemployment rate from 1999 to 2020,Philippines: Gross domestic product (GDP) in current prices from 1986 to 2026 (in billion U.S. dollars)
1999,3.85,86.06
2000,3.83,83.67
2001,3.7,78.92
2002,3.62,84.31
2003,3.53,87.04
2004,3.55,95
2005,3.8,107.42
2006,4.05,127.65
2007,3.43,155.98
2008,3.72,181.01
2009,3.86,176.13
2010,3.61,208.37
2011,3.59,234.22
2012,3.5,261.92
2013,3.5,283.9
2014,3.6,297.48
2015,3.07,306.45
2016,2.71,318.63
2017,2.55,328.48
2018,2.34,346.84
2019,2.15,376.8
2020,2.16,362.24
